Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE METZ,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Nov-24
ROYALGREEN,ANAMALAI AVENUE,10,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Nov-24
JERSEY LODGE,LORONG J TELOK KURAU,15,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Nov-24
SAVANNAH CONDOPARK,SIMEI RISE,18,Non-Landed Properties,2,"3,200",90 to 100,"1,000 to 1,100",Nov-24
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"5,300",120 to 130,"1,200 to 1,300",Nov-24
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,300",90 to 100,"1,000 to 1,100",Nov-24
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,23,Non-Landed Properties,3,"3,800",100 to 110,"1,100 to 1,200",Nov-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Nov-24
KURAU COURT,TELOK KURAU ROAD,15,Non-Landed Properties,NA,"3,100",70 to 80,800 to 900,Nov-24
SIMS EDGE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Nov-24
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Nov-24
CASA CAMBIO,LIM TUA TOW ROAD,19,Non-Landed Properties,1,"2,500",40 to 50,500 to 600,Nov-24
MIRAGE TOWER,KIM SENG ROAD,09,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Nov-24
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,01,Non-Landed Properties,3,"6,500",150 to 160,"1,600 to 1,700",Nov-24
MIRAGE TOWER,KIM SENG ROAD,09,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Nov-24
RISING COURT,JOO CHIAT ROAD,15,Non-Landed Properties,NA,"3,800",130 to 140,"1,400 to 1,500",Nov-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Nov-24
THOMSON 800,THOMSON ROAD,11,Non-Landed Properties,3,"5,000",130 to 140,"1,300 to 1,400",Nov-24
ALLSWORTH PARK,HOLLAND ROAD,10,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Nov-24
ASTRID MEADOWS,CORONATION ROAD WEST,10,Non-Landed Properties,NA,"5,000",120 to 130,"1,300 to 1,400",Nov-24
ASPEN HEIGHTS,RIVER VALLEY ROAD,09,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Nov-24
LEWIS LODGE,LEWIS ROAD,10,Non-Landed Properties,NA,"9,000",230 to 240,"2,500 to 2,600",Nov-24
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Nov-24
SHERWOOD CONDOMINIUM,JALAN JURONG KECHIL,21,Non-Landed Properties,2,"3,990",80 to 90,800 to 900,Nov-24
ROBIN RESIDENCES,ROBIN DRIVE,10,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Nov-24
THE STERLING,BUKIT TIMAH ROAD,21,Non-Landed Properties,4,"7,000",180 to 190,"1,900 to 2,000",Nov-24
AURALIS,EAST COAST ROAD,15,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Nov-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,200",100 to 110,"1,000 to 1,100",Nov-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Nov-24
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Nov-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Nov-24
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,1,"4,850",60 to 70,600 to 700,Nov-24
TROPIKA EAST,FOO KIM LIN ROAD,14,Non-Landed Properties,1,"2,500",40 to 50,500 to 600,Nov-24
YISHUN SAPPHIRE,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Nov-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Nov-24
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,000",80 to 90,"900 to 1,000",Nov-24
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Nov-24
THE QUINN,BARTLEY ROAD,19,Non-Landed Properties,1,"2,800",50 to 60,500 to 600,Nov-24
WATERFORD RESIDENCE,KIM YAM ROAD,09,Non-Landed Properties,2,"5,600",90 to 100,"1,000 to 1,100",Nov-24
PALM SPRING,EWE BOON ROAD,10,Non-Landed Properties,4,"9,000",270 to 280,"2,900 to 3,000",Nov-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"4,300",90 to 100,"900 to 1,000",Nov-24
URBAN SUITES,HULLET ROAD,09,Non-Landed Properties,3,"12,000",140 to 150,"1,500 to 1,600",Nov-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Nov-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,750",50 to 60,500 to 600,Nov-24
STURDEE RESIDENCES,BEATTY ROAD,08,Non-Landed Properties,1,"3,100",30 to 40,400 to 500,Nov-24
ZEDGE,AKYAB ROAD,11,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Nov-24
AMARYLLIS VILLE,NEWTON ROAD,11,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Nov-24
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,2,"4,200",100 to 110,"1,000 to 1,100",Nov-24
YONG SIAK VIEW,YONG SIAK STREET,03,Non-Landed Properties,NA,"5,900",90 to 100,"1,000 to 1,100",Nov-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Nov-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Nov-24
THE WATER EDGE,LORONG 38 GEYLANG,14,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Nov-24
TANGLIN REGENCY,TANGLIN ROAD,10,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Nov-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Nov-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Nov-24
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"3,900",80 to 90,800 to 900,Nov-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Nov-24
PARC PALAIS,HUME AVENUE,21,Non-Landed Properties,4,"4,900",140 to 150,"1,500 to 1,600",Nov-24
SAVANNAH CONDOPARK,SIMEI RISE,18,Non-Landed Properties,2,"3,900",90 to 100,"1,000 to 1,100",Nov-24
THE ARTE,JALAN RAJA UDANG,12,Non-Landed Properties,3,"6,000",140 to 150,"1,500 to 1,600",Nov-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,3,"5,600",110 to 120,"1,200 to 1,300",Nov-24
MEYER MANSION,MEYER ROAD,15,Non-Landed Properties,3,"7,000",100 to 110,"1,100 to 1,200",Nov-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,450",40 to 50,400 to 500,Nov-24
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,4,"4,500",130 to 140,"1,400 to 1,500",Nov-24
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,100",50 to 60,600 to 700,Nov-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,1,"2,550",40 to 50,400 to 500,Nov-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,800",70 to 80,700 to 800,Nov-24
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,100",50 to 60,600 to 700,Nov-24
CITY GATE,BEACH ROAD,07,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Nov-24
NATHAN PLACE,NATHAN ROAD,10,Non-Landed Properties,3,"6,800",130 to 140,"1,400 to 1,500",Nov-24
SUNGLADE,SERANGOON AVENUE 2,19,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Nov-24
COASTARINA,EAST COAST ROAD,15,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",Nov-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Nov-24
PALAZZETTO,TANJONG RHU ROAD,15,Non-Landed Properties,2,"3,400",70 to 80,800 to 900,Nov-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"5,800",120 to 130,"1,300 to 1,400",Nov-24
THOMSON V TWO,SIN MING ROAD,20,Non-Landed Properties,1,"2,300",30 to 40,300 to 400,Nov-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,400",30 to 40,300 to 400,Nov-24
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,100",50 to 60,600 to 700,Nov-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"2,900",50 to 60,500 to 600,Nov-24
OXLEY EDGE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"3,100",30 to 40,300 to 400,Nov-24
GARDENVISTA,DUNEARN ROAD,21,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Nov-24
THE SUMMIT,UPPER EAST COAST ROAD,16,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Nov-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"5,500",60 to 70,700 to 800,Nov-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Nov-24
HELIOS RESIDENCES,CAIRNHILL CIRCLE,09,Non-Landed Properties,2,"7,300",110 to 120,"1,200 to 1,300",Nov-24
THE TANAMERA,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Nov-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Nov-24
THE BECCAGAYLE,LORONG N TELOK KURAU,15,Non-Landed Properties,3,"4,400",120 to 130,"1,300 to 1,400",Nov-24
DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Nov-24
ROYCE RESIDENCES,LORONG 6 GEYLANG,14,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,Nov-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,800",70 to 80,700 to 800,Nov-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Nov-24
THE GALE,FLORA ROAD,17,Non-Landed Properties,4,"5,700",150 to 160,"1,600 to 1,700",Nov-24
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,300",80 to 90,800 to 900,Nov-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,4,"7,300",110 to 120,"1,200 to 1,300",Nov-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Nov-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"6,800",80 to 90,"900 to 1,000",Nov-24
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,1,"5,300",50 to 60,500 to 600,Nov-24
FULCRUM,FORT ROAD,15,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Nov-24
STRAITS RESIDENCES,JOO CHIAT PLACE,15,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Nov-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Nov-24
LINCOLN SUITES,KHIANG GUAN AVENUE,11,Non-Landed Properties,NA,"3,200",40 to 50,400 to 500,Nov-24
THE MEYERISE,MEYER ROAD,15,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Nov-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,800",100 to 110,"1,000 to 1,100",Nov-24
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Nov-24
BURLINGTON SQUARE,BENCOOLEN STREET,07,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Nov-24
RITZ MANSIONS,BALESTIER ROAD,12,Non-Landed Properties,3,"4,700",140 to 150,"1,500 to 1,600",Nov-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Nov-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,1,"2,790",40 to 50,400 to 500,Nov-24
LIBERTE,SARKIES ROAD,10,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Nov-24
MARINE MEADOWS,MARINE PARADE,15,Non-Landed Properties,NA,"4,800",150 to 160,"1,600 to 1,700",Nov-24
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,3,"6,200",110 to 120,"1,200 to 1,300",Nov-24
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,Non-Landed Properties,3,"3,500",120 to 130,"1,300 to 1,400",Nov-24
THE FORD @ HOLLAND,FORD AVENUE,10,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Nov-24
BRADDELL VIEW,BRADDELL HILL,20,Non-Landed Properties,NA,"4,600",120 to 130,"1,300 to 1,400",Nov-24
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Nov-24
OKIO,BALESTIER ROAD,12,Non-Landed Properties,2,"3,500",50 to 60,500 to 600,Nov-24
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"6,300",100 to 110,"1,100 to 1,200",Nov-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Nov-24
ALESSANDREA,ALEXANDRA ROAD,03,Non-Landed Properties,3,"4,000",100 to 110,"1,000 to 1,100",Nov-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,680",50 to 60,500 to 600,Nov-24
FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,20,Non-Landed Properties,2,"3,900",120 to 130,"1,200 to 1,300",Nov-24
THE TRIZON,RIDGEWOOD CLOSE,10,Non-Landed Properties,2,"5,500",120 to 130,"1,300 to 1,400",Nov-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,300",60 to 70,600 to 700,Nov-24
THE NEXUS,BUKIT TIMAH ROAD,21,Non-Landed Properties,4,"5,800",130 to 140,"1,400 to 1,500",Nov-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Nov-24
THE ATRIA AT MEYER,MEYER ROAD,15,Non-Landed Properties,NA,"6,300",150 to 160,"1,600 to 1,700",Nov-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,400",50 to 60,600 to 700,Nov-24
KOVAN RESIDENCES,KOVAN ROAD,19,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Nov-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,500",90 to 100,"1,000 to 1,100",Nov-24
AALTO,MEYER ROAD,15,Non-Landed Properties,3,"8,300",130 to 140,"1,400 to 1,500",Nov-24
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,4,"5,400",120 to 130,"1,300 to 1,400",Nov-24
TIONG BAHRU ESTATE,TIONG POH ROAD,03,Non-Landed Properties,NA,"4,000",50 to 60,600 to 700,Nov-24
SEA PAVILION RESIDENCES,UPPER EAST COAST ROAD,16,Non-Landed Properties,3,"4,000",80 to 90,"900 to 1,000",Nov-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,3,"6,700",120 to 130,"1,300 to 1,400",Nov-24
WOODSVILLE 28,WOODSVILLE CLOSE,13,Non-Landed Properties,2,"3,550",80 to 90,"900 to 1,000",Nov-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"7,000",100 to 110,"1,100 to 1,200",Nov-24
SYMPHONY HEIGHTS,HUME AVENUE,21,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Nov-24
CAVENAGH LODGE,CAVENAGH ROAD,09,Non-Landed Properties,2,"4,200",110 to 120,"1,200 to 1,300",Nov-24
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,Nov-24
SOUTHBANK,NORTH BRIDGE ROAD,07,Non-Landed Properties,2,"5,400",90 to 100,"900 to 1,000",Nov-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,Nov-24
THOMSON GRAND,SIN MING WALK,20,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Nov-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,200",60 to 70,600 to 700,Nov-24
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,2,"3,400",80 to 90,"900 to 1,000",Nov-24
SEASUITES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Nov-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Nov-24
PERMAI RESIDENCES,KAMPONG BAHRU ROAD,04,Non-Landed Properties,3,"6,200",140 to 150,"1,500 to 1,600",Nov-24
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"5,100",100 to 110,"1,000 to 1,100",Nov-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Nov-24
BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,900",60 to 70,700 to 800,Nov-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,000",60 to 70,600 to 700,Nov-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,4,"8,700",160 to 170,"1,700 to 1,800",Nov-24
TRIBECA,KIM SENG ROAD,09,Non-Landed Properties,4,"10,000",170 to 180,"1,900 to 2,000",Nov-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Nov-24
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Nov-24
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Nov-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"3,700",70 to 80,800 to 900,Nov-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,550",50 to 60,500 to 600,Nov-24
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Nov-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,3,"4,300",90 to 100,"1,000 to 1,100",Nov-24
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Nov-24
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,450",40 to 50,400 to 500,Nov-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"9,000",270 to 280,"3,000 to 3,100",Nov-24
SHELFORD VIEW,SHELFORD ROAD,11,Non-Landed Properties,2,"14,800",470 to 480,"5,100 to 5,200",Nov-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"2,850",50 to 60,500 to 600,Nov-24
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-Landed Properties,1,"4,000",80 to 90,800 to 900,Nov-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,800",60 to 70,600 to 700,Nov-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Nov-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,400",40 to 50,500 to 600,Nov-24
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Nov-24
COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,17,Non-Landed Properties,2,"4,000",100 to 110,"1,100 to 1,200",Nov-24
THE GERANIUM,MANGIS ROAD,15,Non-Landed Properties,3,"4,500",150 to 160,"1,600 to 1,700",Nov-24
DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,150",100 to 110,"1,000 to 1,100",Nov-24
THE BALMORAL,BALMORAL PARK,10,Non-Landed Properties,4,"9,000",240 to 250,"2,600 to 2,700",Nov-24
THE MADEIRA,BUKIT BATOK STREET 31,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Nov-24
CORALIS,JOO CHIAT ROAD,15,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Nov-24
SIGNATURE AT LEWIS,LEWIS ROAD,10,Non-Landed Properties,4,"7,000",170 to 180,"1,800 to 1,900",Nov-24
CENTRA STUDIOS,LORONG 25 GEYLANG,14,Non-Landed Properties,1,"3,500",30 to 40,400 to 500,Nov-24
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,3,"4,100",70 to 80,800 to 900,Nov-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Nov-24
MARTIN EDGE,MARTIN ROAD,09,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Nov-24
THE INTERWEAVE,KIM KEAT ROAD,12,Non-Landed Properties,NA,"2,700",30 to 40,300 to 400,Nov-24
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"4,900",90 to 100,"900 to 1,000",Nov-24
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,NA,"2,150",40 to 50,400 to 500,Nov-24
CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,09,Non-Landed Properties,3,"6,600",100 to 110,"1,100 to 1,200",Nov-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Nov-24
BREEZY MANSIONS,SANDILANDS ROAD,19,Non-Landed Properties,3,"3,400",90 to 100,"1,000 to 1,100",Nov-24
PATENT PLACE,JALAN RAJAWALI,21,Non-Landed Properties,3,"6,715",180 to 190,"1,900 to 2,000",Nov-24
HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,04,Non-Landed Properties,3,"5,800",150 to 160,"1,600 to 1,700",Nov-24
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Nov-24
THE HERMITAGE,SARKIES ROAD,10,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Nov-24
ONE OXLEY RISE,OXLEY RISE,09,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Nov-24
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,Non-Landed Properties,3,"3,800",130 to 140,"1,400 to 1,500",Nov-24
SOMMERVILLE PARK,FARRER DRIVE,10,Non-Landed Properties,3,"5,400",120 to 130,"1,300 to 1,400",Nov-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,500",70 to 80,700 to 800,Nov-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,500",50 to 60,500 to 600,Nov-24
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,200",90 to 100,"1,000 to 1,100",Nov-24
THE REGALIA,RIVER VALLEY CLOSE,09,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Nov-24
LEWIS LODGE,LEWIS ROAD,10,Non-Landed Properties,NA,"9,000",230 to 240,"2,500 to 2,600",Nov-24
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,10,Non-Landed Properties,2,"7,800",140 to 150,"1,500 to 1,600",Nov-24
DUCHESS MANOR,DUCHESS ROAD,10,Non-Landed Properties,3,"5,800",90 to 100,"1,000 to 1,100",Nov-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Nov-24
THE HILLFORD,JALAN JURONG KECHIL,21,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,Nov-24
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-Landed Properties,2,"3,600",80 to 90,800 to 900,Nov-24
JUPITER 18,LORONG 102 CHANGI,15,Non-Landed Properties,1,"2,900",30 to 40,400 to 500,Nov-24
MARTIN PLACE RESIDENCES,MARTIN PLACE,09,Non-Landed Properties,3,"10,000",160 to 170,"1,700 to 1,800",Nov-24
TAN CHIN TUAN MANSION,CAIRNHILL ROAD,09,Non-Landed Properties,4,"29,200",390 to 400,"4,200 to 4,300",Nov-24
TERESA VILLE,LOWER DELTA ROAD,04,Non-Landed Properties,3,"5,700",180 to 190,"1,900 to 2,000",Nov-24
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-Landed Properties,3,"9,300",120 to 130,"1,300 to 1,400",Nov-24
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Nov-24
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,4,"4,800",110 to 120,"1,200 to 1,300",Nov-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,000",70 to 80,800 to 900,Nov-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"4,200",90 to 100,"900 to 1,000",Nov-24
LATITUDE,JALAN MUTIARA,10,Non-Landed Properties,2,"6,100",120 to 130,"1,300 to 1,400",Nov-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Nov-24
THE MINTON,HOUGANG STREET 11,19,Non-Landed Properties,3,"5,000",180 to 190,"1,900 to 2,000",Nov-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,800",50 to 60,600 to 700,Nov-24
THE FORD @ HOLLAND,FORD AVENUE,10,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Nov-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,2,"3,700",70 to 80,700 to 800,Nov-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,2,"4,900",80 to 90,"900 to 1,000",Nov-24
